Open,High,Low,Close,Volume,Change,Action,act
73900,74600,73100,73900,29192631,-0.0040431266846361336,0,2
73500,74400,73100,73100,22166298,-0.010825439783491153,2,2
73500,73900,72500,72700,22364803,-0.005471956224350261,2,2
73300,74000,73000,73300,19384648,0.008253094910591452,0,2
73900,75700,73900,75600,21016913,0.03137789904502042,2,2
76200,76600,74900,75700,22319664,0.001322751322751392,2,2
76100,76200,74600,74600,16671494,-0.014531043593130732,2,2
74300,75000,73800,74300,15172748,-0.004021447721179627,2,2
75400,75500,74200,74600,12686999,0.004037685060565233,2,2
74900,76700,74300,76700,24630370,0.02815013404825728,2,2
76700,77100,75900,76800,16114775,0.0013037809647979959,0,2
76800,76800,75700,76000,15347486,-0.01041666666666663,2,2
76400,76700,76000,76600,12096419,0.007894736842105177,2,2
76800,77600,76600,77300,12861180,0.009138381201044377,0,2
77100,77100,75900,76100,13239401,-0.015523932729624823,2,2
76000,76400,75600,76300,11798147,0.0026281208935610145,2,2
76400,76600,75000,75300,17600770,-0.013106159895150737,0,2
75300,75600,74800,75300,10103212,0.0,0,2
75200,76300,75100,76300,11397775,0.013280212483399723,0,2
77100,77700,76600,76600,18167057,0.003931847968545288,0,2
77400,77400,76400,77000,12500473,0.005221932114882533,2,2
