Date,Open,High,Low,Close,Volume,Change,BPS,PER,PBR,EPS,DIV,DPS,Action,act
2021-01-28,83200,85600,83200,83700,31859808,-0.02219626168224298,37528,26.44,2.23,3166,1.69,1416,2,2
2021-01-29,84500,85000,82000,82000,39615978,-0.020310633213859064,37528,25.9,2.19,3166,1.73,1416,2,2
2021-02-01,81700,83400,81000,83000,28046832,0.012195121951219523,37528,26.22,2.21,3166,1.71,1416,2,2
2021-02-02,84100,86400,83700,84400,26302077,0.01686746987951815,37528,26.66,2.25,3166,1.68,1416,2,2
2021-02-03,84800,85400,83400,84600,22112205,0.0023696682464455776,37528,26.72,2.25,3166,1.67,1416,0,2
2021-02-04,83500,83800,82100,82500,24171688,-0.024822695035460973,37528,26.06,2.2,3166,1.72,1416,2,2
2021-02-05,83100,84000,82500,83500,18036835,0.0121212121212122,37528,26.37,2.23,3166,1.7,1416,1,2
2021-02-08,83800,84200,83000,83000,15338765,-0.005988023952095856,37528,26.22,2.21,3166,1.71,1416,2,2
2021-02-09,84000,84800,82700,82700,20898332,-0.0036144578313253017,37528,26.12,2.2,3166,1.71,1416,2,2
2021-02-10,82600,82600,81600,81600,23025766,-0.013301088270858519,37528,25.77,2.17,3166,1.74,1416,2,2
2021-02-15,83800,84500,83300,84200,23529706,0.031862745098039325,37528,26.6,2.24,3166,1.68,1416,2,2
2021-02-16,84500,86000,84200,84900,20483100,0.008313539192398967,37528,26.82,2.26,3166,1.67,1416,2,2
2021-02-17,83900,84200,83000,83200,18307735,-0.020023557126030656,37528,26.28,2.22,3166,1.7,1416,2,2
2021-02-18,83200,83600,82100,82100,21327683,-0.013221153846153855,37528,25.93,2.19,3166,1.72,1416,0,2
2021-02-19,82300,82800,81000,82600,25880879,0.006090133982947554,37528,26.09,2.2,3166,1.71,1416,1,2
2021-02-22,83800,84200,82200,82200,25419886,-0.004842615012106588,37528,25.96,2.19,3166,1.72,1416,2,2
2021-02-23,81200,82900,81100,82000,20587314,-0.0024330900243308973,37528,25.9,2.19,3166,1.73,1416,2,2
2021-02-24,81800,83600,81300,82000,26807651,0.0,37528,25.9,2.19,3166,1.73,1416,1,2
